Date,Lloyds_Close
2014-07-11,72.67
2014-07-14,73.15
2014-07-15,72.87
2014-07-16,74.44
2014-07-17,73.17
2014-07-18,73.42
2014-07-21,72.59
2014-07-22,73.3
2014-07-23,73.63
2014-07-24,73.95
2014-07-25,74.81
2014-07-28,74.84
2014-07-29,75.63
2014-07-30,76.41
2014-07-31,74.25
2014-08-01,73.33
2014-08-04,73.34
2014-08-05,72.9
2014-08-06,72.23
2014-08-07,71.92
2014-08-08,72.21
2014-08-11,73.11
2014-08-12,73.24
2014-08-13,73.68
2014-08-14,73.5
2014-08-15,73.59
2014-08-18,74.05
2014-08-19,74.6
2014-08-20,75.06
2014-08-21,75.24
2014-08-22,76.25
2014-08-26,76.49
2014-08-27,76.83
2014-08-28,76.28
2014-08-29,76.27
2014-09-01,75.85
2014-09-02,74.82
2014-09-03,75.03
2014-09-04,75.0
2014-09-05,74.0
2014-09-08,72.2
2014-09-09,73.25
2014-09-10,73.23
2014-09-11,74.08
2014-09-12,74.58
2014-09-15,73.54
2014-09-16,73.5
2014-09-17,74.84
2014-09-18,75.87
2014-09-19,76.82
2014-09-22,76.24
2014-09-23,75.14
2014-09-24,75.39
2014-09-25,76.2
2014-09-26,76.66
2014-09-29,76.5
2014-09-30,76.87
2014-10-01,76.73
2014-10-02,75.2
2014-10-03,77.25
2014-10-06,77.2
2014-10-07,75.9
2014-10-08,75.31
2014-10-09,75.27
2014-10-10,74.68
2014-10-13,74.87
2014-10-14,75.56
2014-10-15,73.48
2014-10-16,72.27
2014-10-17,74.63
2014-10-20,74.69
2014-10-21,75.88
2014-10-22,75.88
2014-10-23,76.33
2014-10-24,76.72
2014-10-27,75.34
2014-10-28,73.5
2014-10-29,74.48
2014-10-30,75.17
2014-10-31,77.13
2014-11-03,76.8
2014-11-04,76.3
2014-11-05,77.26
2014-11-06,76.55
2014-11-07,76.27
2014-11-10,76.66
2014-11-11,76.4
2014-11-12,75.76
2014-11-13,76.67
2014-11-14,77.02
2014-11-17,77.27
2014-11-18,77.91
2014-11-19,78.57
2014-11-20,78.12
2014-11-21,78.49
2014-11-24,78.81
2014-11-25,79.59
2014-11-26,79.53
2014-11-27,79.95
2014-11-28,80.35
2014-12-01,79.68
2014-12-02,80.41
2014-12-03,79.65
2014-12-04,79.57
2014-12-05,80.89
2014-12-08,80.41
2014-12-09,78.54
2014-12-10,78.6
2014-12-11,78.2
2014-12-12,76.13
2014-12-15,74.4
2014-12-16,76.86
2014-12-17,75.35
2014-12-18,75.37
2014-12-19,76.16
2014-12-22,76.57
2014-12-23,76.89
2014-12-24,76.8
2014-12-29,76.25
2014-12-30,75.55
2014-12-31,75.82
2015-01-02,76.15
2015-01-05,74.62
2015-01-06,72.87
2015-01-07,73.01
2015-01-08,74.1
2015-01-09,73.74
2015-01-12,73.57
2015-01-13,74.01
2015-01-14,72.9
2015-01-15,74.18
2015-01-16,74.44
2015-01-19,74.65
2015-01-20,75.5
2015-01-21,75.59
2015-01-22,75.65
2015-01-23,75.53
2015-01-26,76.0
2015-01-27,75.13
2015-01-28,74.76
2015-01-29,74.86
2015-01-30,73.75
2015-02-02,73.67
2015-02-03,74.97
2015-02-04,74.55
2015-02-05,75.53
2015-02-06,75.81
2015-02-09,74.92
2015-02-10,75.01
2015-02-11,74.39
2015-02-12,74.43
2015-02-13,75.35
2015-02-16,75.73
2015-02-17,77.03
2015-02-18,77.29
2015-02-19,77.23
2015-02-20,77.98
2015-02-23,79.02
2015-02-24,79.21
2015-02-25,79.24
2015-02-26,78.5
2015-02-27,79.0
2015-03-02,79.99
2015-03-03,79.44
2015-03-04,79.87
2015-03-05,80.94
2015-03-06,81.43
2015-03-09,80.37
2015-03-10,78.75
2015-03-11,78.16
2015-03-12,79.2
2015-03-13,79.0
2015-03-16,79.35
2015-03-17,79.46
2015-03-18,79.5
2015-03-19,79.5
2015-03-20,80.63
2015-03-23,80.48
2015-03-24,80.59
2015-03-25,80.5
2015-03-26,79.73
2015-03-27,79.05
2015-03-30,79.39
2015-03-31,78.28
2015-04-01,79.39
2015-04-02,79.08
2015-04-07,80.1
2015-04-08,79.68
2015-04-09,79.68
2015-04-10,79.3
2015-04-13,79.4
2015-04-14,79.9
2015-04-15,80.34
2015-04-16,79.9
2015-04-17,78.75
2015-04-20,78.59
2015-04-21,79.02
2015-04-22,78.23
2015-04-23,78.99
2015-04-24,79.1
2015-04-27,78.65
2015-04-28,78.0
2015-04-29,77.42
2015-04-30,77.38
2015-05-01,82.87
2015-05-05,82.41
2015-05-06,82.68
2015-05-07,82.13
2015-05-08,86.85
2015-05-11,86.6
2015-05-12,87.02
2015-05-13,88.74
2015-05-14,88.82
2015-05-15,89.0
2015-05-18,89.0
2015-05-19,88.0
2015-05-20,87.73
2015-05-21,87.84
2015-05-22,87.98
2015-05-26,86.82
2015-05-27,87.41
2015-05-28,87.94
2015-05-29,87.77
2015-06-01,88.66
2015-06-02,88.65
2015-06-03,88.93
2015-06-04,87.5
2015-06-05,87.09
2015-06-08,86.43
2015-06-09,86.48
2015-06-10,86.73
2015-06-11,87.12
2015-06-12,86.95
2015-06-15,86.38
2015-06-16,85.7
2015-06-17,86.35
2015-06-18,86.13
2015-06-19,86.5
2015-06-22,87.08
2015-06-23,87.0
2015-06-24,87.13
2015-06-25,87.52
2015-06-26,87.06
2015-06-29,85.87
2015-06-30,85.24
2015-07-01,86.86
2015-07-02,86.21
2015-07-03,85.14
2015-07-06,84.15
2015-07-07,84.0
2015-07-08,82.33
2015-07-09,83.56
2015-07-10,84.33
2015-07-13,85.3
2015-07-14,85.65
2015-07-15,85.66
2015-07-16,86.51
2015-07-17,87.4
2015-07-20,87.59
2015-07-21,87.65
2015-07-22,87.17
2015-07-23,86.29
2015-07-24,85.36
2015-07-27,84.82
2015-07-28,85.14
2015-07-29,85.6
2015-07-30,86.02
2015-07-31,83.2
2015-08-03,83.07
2015-08-04,82.47
2015-08-05,82.9
2015-08-06,83.3
2015-08-07,82.13
2015-08-10,81.3
2015-08-11,81.08
2015-08-12,80.16
2015-08-13,79.45
2015-08-14,80.1
2015-08-17,80.0
2015-08-18,80.28
2015-08-19,78.91
2015-08-20,78.36
2015-08-21,75.85
2015-08-24,73.46
2015-08-25,76.68
2015-08-26,76.08
2015-08-27,76.08
2015-08-28,77.38
2015-09-01,75.56
2015-09-02,75.86
2015-09-03,76.92
2015-09-04,75.52
2015-09-07,75.67
2015-09-08,75.88
2015-09-09,77.0
2015-09-10,76.32
2015-09-11,75.78
2015-09-14,74.49
2015-09-15,75.58
2015-09-16,75.5
2015-09-17,74.3
2015-09-18,72.71
2015-09-21,74.23
2015-09-22,72.3
2015-09-23,72.95
2015-09-24,73.84
2015-09-25,75.51
2015-09-28,74.09
2015-09-29,73.36
2015-09-30,75.16
2015-10-01,75.22
2015-10-02,76.55
2015-10-05,77.27
2015-10-06,76.91
2015-10-07,76.68
2015-10-08,76.28
2015-10-09,77.21
2015-10-12,75.9
2015-10-13,74.75
2015-10-14,73.88
2015-10-15,74.63
2015-10-16,75.2
2015-10-19,75.47
2015-10-20,75.58
2015-10-21,76.31
2015-10-22,76.73
2015-10-23,77.83
2015-10-26,77.5
2015-10-27,77.4
2015-10-28,74.0
2015-10-29,74.22
2015-10-30,73.73
2015-11-02,75.0
2015-11-03,74.47
2015-11-04,73.85
2015-11-05,72.9
